Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL5986329,,,561.64,1.0,3.5,BDBM567886,CC1CCCCN1C(=O)C1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,kon,'=',,,,,1198295,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
CHEMBL6063957,,,494.55,0.0,3.13,BDBM567894,CO[C@@H](C)[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,k_off,'=',,s-1,,,1198303,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
CHEMBL5890378,,,519.59,2.0,2.99,BDBM567895,CO/N=C(\C)C1(N)CCCN(c2cnc(-c3ccc(OC)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,k_off,'=',,s-1,,,1198304,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
CHEMBL5926402,,,494.55,0.0,3.13,BDBM567896,CO[C@H](C)[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,IC50,'=',525.0,nM,6.28,,1198305,UO_0000065,12.7,0.24,3.15,5.19,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,525.0
CHEMBL5791245,,,532.6,1.0,3.85,BDBM567899,Nc1ncnc2c1ncn2Cc1cc(-c2ccc(F)c(F)c2)ncc1N1CCCC(N)(C(=O)C2CCCC2)C1,k_off,'=',,s-1,,,1198308,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
CHEMBL5870733,,,520.59,1.0,3.71,BDBM567901,CC[C@@H](C)C(=O)[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,k_off,'=',,s-1,,,1198310,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
CHEMBL5899332,,,436.47,0.0,2.53,BDBM567698,Nc1ncnc2c1ncn2Cc1cc(-c2ccccc2F)ncc1N1CC[C@@H](F)[C@@H](N)C1,kon,'=',,,,,1198210,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
CHEMBL5962978,,,430.52,0.0,2.45,BDBM567810,COc1ccc(-c2cc(Cn3cnc4c(N)ncnc43)c(N3CCC[C@@H](N)C3)cn2)cc1,IC50,'=',525.0,nM,6.28,,1198219,UO_0000065,14.59,0.27,3.83,5.19,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,525.0
CHEMBL5962978,,,430.52,0.0,2.45,BDBM567810,COc1ccc(-c2cc(Cn3cnc4c(N)ncnc43)c(N3CCC[C@@H](N)C3)cn2)cc1,k_off,'=',,s-1,,,1198219,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
CHEMBL5892786,,,452.93,0.0,3.05,BDBM567811,Nc1ncnc2c1ncn2Cc1cc(-c2cccc(Cl)c2)ncc1N1CC[C@@H](F)[C@@H](N)C1,k_off,'=',,s-1,,,1198220,,,,,,0,CHEMBL5738380,"LC-MS/MS-Based NSD2 Enzymatic Assay: This assay employed LC-MS/MS technology to monitor the SAH production from the NSD2 enzymatic reaction. The enzymatic reaction was performed in white proxiplate plus 384-well microplate (Perkin Elmer). The reaction mixture (10 μL) were composed of 8 nM NSD2 [1-1365], 1 M SAM (USB, 10601) and 400 nM nucleosome (purified from mouse liver) in reaction buffer (20 mM Tris-HCl, pH at 8.0, 0.01% Tween 20, 10 mM MgCl2, 50 mM NaCl, 1 mM DTT, 1 mM TCEP (pH7.5)). After 90 min incubation at room temperature, 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH was added to stop the reaction.For the inhibition assay, compound solutions were transferred into the wells by Mosquito (TTP LabTech). The inhibition assays were carried out by preincubating various concentrations of the inhibitor with 5 uL reaction mixture containing 16 nM NSD2 [1-1365] and 2 uM SAM (USB, 10601) in reaction buffer. After 20 min preincubation, 5 uL solution containing 800 nM nucleosome (purified from mouse liver) in reaction buffer was added to initiate the reaction. The reaction was stopped by 3 μL quenching solution containing 2.5% TFA with 320 nM d4-SAH after 90 min.The SAH production from the enzymatic assays were monitored by LC-MS/MS on an API 4000 triple quadrupole mass spec with Turbolon Spray (Applied Biosystem) coupled with Prominenece UFLC(Shimazu). Liquid chromatography was performed on a Chromolith FastGradient HPLC column (RP-18e, 25-2 mm, from Merck) at a flow rate of 0.8 ml/min. The column was connected directly to the turbo ion electrospray operating in the positive-ion mode. Mobile phase A is 0.1% FA and 2% methanol in water and mobile phase B is 0.1% FA in ACN. Injection volume was 3 μl and the autosampler was kept at 4 degree. SAH and d4-SAH were simultaneously monitored. Data were acquired and processed by Analyst software.To quantify the formed SAH, d4-SAH was added as internal standard (IS). A series of SAH (Sigma, A9384) solution at varying concentration (1-500 nM in reaction buffer) was mixed with quenching solution mentioned above. Then LC-MS/MS was carried out on API 4000 LC/MS/MS system to detect both SAH and d4-SAH. The plot of SAH peak area/IS peak area vs SAH concentration was used to generate the normalization factor of SAH. The SAH production from real enzymatic reaction was derived from the standard curve of SAH. The down-limit of our system for the detection of SAH is around 1-2 nM, and the linear range can reach up to 500 nM.",B,BAO_0000019,assay format,,,,,,,,,CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,SINGLE PROTEIN,CHEMBL5729272,37,BindingDB Patent Bioactivity Data,,2022.0,,,,,
