ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,Np Likeness Score,Molecular Formula,Smiles,Inchi Key,Inchi,Withdrawn Flag,Orphan,Records Key,Records Name
CHEMBL1541657,,,Small molecule,,441.59,27,51,4.53,30.49,4.0,1.0,0.0,12.0,N,0.45,1.0,MOL,-1,22.0,-0.22,C22H35NO6S,CCCCCCCSc1cc(OC)c(CCNC)cc1OC.O=C(O)/C=C\C(=O)O,IGGYDCCELBGULX-BTJKTKAUSA-N,"InChI=1S/C18H31NO2S.C4H4O4/c1-5-6-7-8-9-12-22-18-14-16(20-3)15(10-11-19-2)13-17(18)21-4;5-3(6)1-2-4(7)8/h13-14,19H,5-12H2,1-4H3;1-2H,(H,5,6)(H,7,8)/b;2-1-",False,-1,['SID17387473'],['SID17387473']
CHEMBL4758943,,,Unknown,,282.37,3,12,3.42,44.1,3.0,0.0,0.0,4.0,N,0.86,2.0,MOL,-1,20.0,-2.69,C16H14N2OS,N#Cc1ccc(C(=O)N(Cc2cccs2)C2CC2)cc1,WYAGGMZTARRIDX-UHFFFAOYSA-N,"InChI=1S/C16H14N2OS/c17-10-12-3-5-13(6-4-12)16(19)18(14-7-8-14)11-15-2-1-9-20-15/h1-6,9,14H,7-8,11H2",False,-1,"['3f', '50; MR837', '4; MR837', '2; MR837']","['4-cyano-N-cyclopropyl-N-(thiophen-2-ylmethyl)benzamide', '4-cyano-N-cyclopropyl-N-(thiophen-2-ylmethyl)benzamide', '4-cyano-N-cyclopropyl-N-(thiophen-2-ylmethyl)benzamide', '4-cyano-N-cyclopropyl-N-(2-thienylmethyl)benzamide']"
CHEMBL1492110,,,Small molecule,,251.29,24,33,2.53,37.38,3.0,0.0,0.0,1.0,Y,0.67,2.0,MOL,-1,19.0,-0.07,C16H13NO2,CN(C)c1cccc2c1C(=O)c1ccccc1C2=O,FCWBHVZCSYIWHX-UHFFFAOYSA-N,"InChI=1S/C16H13NO2/c1-17(2)13-9-5-8-12-14(13)16(19)11-7-4-3-6-10(11)15(12)18/h3-9H,1-2H3",False,-1,['SID17506473'],['SID17506473']
CHEMBL4760411,,,Unknown,,299.8,1,2,4.63,20.31,1.0,0.0,0.0,2.0,N,0.79,2.0,MOL,-1,21.0,-1.34,C18H18ClNO,Cc1ccc(C(=O)N2CCCC2c2ccc(Cl)cc2)cc1,KXDOUGDRFXEISK-UHFFFAOYSA-N,"InChI=1S/C18H18ClNO/c1-13-4-6-15(7-5-13)18(21)20-12-2-3-17(20)14-8-10-16(19)11-9-14/h4-11,17H,2-3,12H2,1H3",False,-1,['2i'],['(2-(4-chlorophenyl)pyrrolidin-1-yl)(p-tolyl)methanone']
CHEMBL5406103,,,,,490.65,1,1,2.78,58.02,6.0,0.0,0.0,4.0,N,0.66,2.0,MOL,-1,36.0,-0.94,C29H38N4O3,CC(=O)N1CCC(N2C[C@@H]3C[C@@H](C2)c2ccc(-c4ccccc4CN4CCOCC4)c(=O)n2C3)CC1,WLGRGOGJTIXJGZ-UPVQGACJSA-N,"InChI=1S/C29H38N4O3/c1-21(34)31-10-8-25(9-11-31)32-17-22-16-24(20-32)28-7-6-27(29(35)33(28)18-22)26-5-3-2-4-23(26)19-30-12-14-36-15-13-30/h2-7,22,24-25H,8-20H2,1H3/t22-,24-/m0/s1",False,-1,['10; LEM-06'],"['(1S,5S)-3-(1-acetylpiperidin-4-yl)-9-(2-(morpholinomethyl)phenyl)-1,2,3,4,5,6-hexahydro-8H-1,5-methanopyrido[1,2-a][1,5]diazocin-8-one']"
CHEMBL4762702,,,Unknown,,270.33,1,2,2.2,53.33,3.0,0.0,0.0,4.0,N,0.84,1.0,MOL,-1,20.0,-1.64,C16H18N2O2,N#Cc1ccc(C(=O)N(CC2CCOC2)C2CC2)cc1,JPZDEPRCOUWPRE-UHFFFAOYSA-N,"InChI=1S/C16H18N2O2/c17-9-12-1-3-14(4-2-12)16(19)18(15-5-6-15)10-13-7-8-20-11-13/h1-4,13,15H,5-8,10-11H2",False,-1,['3g'],['4-cyano-N-cyclopropyl-N-((tetrahydrofuran-3-yl)methyl)benzamide']
CHEMBL1369552,,,Small molecule,,361.42,7,8,3.26,32.26,3.0,2.0,0.0,4.0,N,0.87,2.0,MOL,-1,17.0,-0.25,C18H19NO5S,CNCc1ccccc1Sc1cccc(O)c1.O=C(O)/C=C\C(=O)O,GACCLCMOZBICCB-BTJKTKAUSA-N,"InChI=1S/C14H15NOS.C4H4O4/c1-15-10-11-5-2-3-8-14(11)17-13-7-4-6-12(16)9-13;5-3(6)1-2-4(7)8/h2-9,15-16H,10H2,1H3;1-2H,(H,5,6)(H,7,8)/b;2-1-",False,-1,['SID22414527'],['SID22414527']
CHEMBL4848209,,,Unknown,,566.12,1,1,5.53,87.74,5.0,2.0,2.0,8.0,N,0.31,4.0,MOL,-1,38.0,-1.26,C30H32ClN3O4S,Cl.O=C(OCc1ccccc1)N1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1,OFUOYSGDRQQVST-UHFFFAOYSA-N,"InChI=1S/C30H31N3O4S.ClH/c34-30(37-22-24-11-5-2-6-12-24)33-19-17-25(18-20-33)32-28-15-7-14-27-26(28)13-8-16-29(27)38(35,36)31-21-23-9-3-1-4-10-23;/h1-16,25,31-32H,17-22H2;1H",False,-1,['11ab'],['Benzyl 4-(5-(N-benzylsulfamoyl)naphthalen-1-ylamino)piperidine-1-carboxylate hydrochloride']
CHEMBL4551960,,,Unknown,,337.26,24,24,3.15,23.55,2.0,0.0,0.0,1.0,N,0.79,1.0,MOL,-1,20.0,-0.8,C16H21BrN2O,CN1CCC2(CCCN2C(=O)c2cccc(Br)c2)CC1,OJKBHVMBBHIEHU-UHFFFAOYSA-N,"InChI=1S/C16H21BrN2O/c1-18-10-7-16(8-11-18)6-3-9-19(16)15(20)13-4-2-5-14(17)12-13/h2,4-5,12H,3,6-11H2,1H3",False,-1,['21'],"['(3-bromophenyl)(8-methyl-1,8-diazaspiro[4.5]decan-1-yl)methanone']"
CHEMBL1334809,,,Small molecule,,470.05,24,47,5.85,39.72,4.0,1.0,1.0,12.0,N,0.39,3.0,MOL,-1,32.0,-0.14,C28H36ClNO3,COc1cc(OC)c(OC)cc1CCC(C)NCCC(c1ccccc1)c1ccccc1.Cl,QYYDHSMELSBGDX-UHFFFAOYSA-N,"InChI=1S/C28H35NO3.ClH/c1-21(15-16-24-19-27(31-3)28(32-4)20-26(24)30-2)29-18-17-25(22-11-7-5-8-12-22)23-13-9-6-10-14-23;/h5-14,19-21,25,29H,15-18H2,1-4H3;1H",False,-1,['SID49647037'],['SID49647037']
