smiles,id,pic50,standard_value,label
C#C[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,CHEMBL6036306,6.279840697,525,1
C=CC(=O)NCc1cc(C(=O)NCc2c(SC)cc(C)[nH]c2=O)c(C)c(N(CC)C2CCOCC2)c1,CHEMBL5401398,5,10000,0
C=CC(=O)Nc1cc(NC(=O)Nc2ccc3nnsc3c2)cc(C(=O)OC)c1,CHEMBL5402134,5.091514981,8100,0
C=CC(=O)Nc1ccc(-c2cc(Cn3cnc4c(N)ncnc43)c(N3CCCC(N)(CC(F)F)C3)cn2)cc1,CHEMBL5801097,6.279840697,525,1
CC#CC(=O)N1CCC2(CC1)CN(C1=C(Cl)C(=O)c3cccnc3C1=O)C2,CHEMBL5424751,6.119186408,760,1
CC#CC(=O)N1CCC2(CC1)CN(C1=C(Cl)C(=O)c3ncccc3C1=O)C2,CHEMBL5403046,5.605548319,2480,0
CC#CC(=O)NC12CC(NC3=C(Cl)C(=O)c4cccnc4C3=O)(C1)C2,CHEMBL5415704,6.602059991,250,1
CC#CC(=O)NC12CC(NC3=C(Cl)C(=O)c4ncccc4C3=O)(C1)C2,CHEMBL5422549,6.638272164,230,1
CC#CC(=O)NC1CN(C2=C(Cl)C(=O)c3cccnc3C2=O)C1,CHEMBL5401066,6.508638306,310,1
CC#CC(=O)NC1CN(C2=C(Cl)C(=O)c3ncccc3C2=O)C1,CHEMBL5435611,6.229147988,590,1
CC#CC(=O)NCCC1CCN(C2=C(Cl)C(=O)c3cccnc3C2=O)CC1,CHEMBL5412710,5.76700389,1710,0
CC#CC(=O)NCCC1CCN(C2=C(Cl)C(=O)c3ncccc3C2=O)CC1,CHEMBL5401031,6.30980392,490,1
CC(=C(F)F)[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,CHEMBL5815873,6.279840697,525,1
CC(=O)N(C)C1CCN(c2cc(F)cc(NC(=O)c3cc4c(F)ccc(C)c4[nH]3)c2)C1,CHEMBL5073608,8.15490196,7,1
CC(=O)N1CCC(N2C[C@@H]3C[C@@H](C2)c2ccc(-c4ccccc4CN4CCOCC4)c(=O)n2C3)CC1,CHEMBL5406103,6.050609993,890,1
CC(=O)N1CCC(N2C[C@H]3C[C@@H](C2)c2ccc(-c4ccccc4CN4CCOCC4)c(=O)n2C3)CC1,CHEMBL4876215,3.096910013,800000,0
CC(=O)N1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1,CHEMBL4851472,5.124938737,7500,0
