smiles,molecule_chembl_id,pIC50,standard_value,label,MW,AlogP,HBD,HBA
C#C[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,CHEMBL6036306,6.279840697,525,1,460.492,2.7279,2,8
C=CC(=O)Nc1cc(NC(=O)Nc2ccc3nnsc3c2)cc(C(=O)OC)c1,CHEMBL5402134,5.091514981,8100,0,397.416,3.2464,3,7
C=CC(=O)Nc1ccc(-c2cc(Cn3cnc4c(N)ncnc43)c(N3CCCC(N)(CC(F)F)C3)cn2)cc1,CHEMBL5801097,6.279840697,525,1,533.587,3.5962,3,9
CC#CC(=O)N1CCC2(CC1)CN(C1=C(Cl)C(=O)c3cccnc3C1=O)C2,CHEMBL5424751,6.119186408,760,1,383.835,1.8587,0,5
CC#CC(=O)N1CCC2(CC1)CN(C1=C(Cl)C(=O)c3ncccc3C1=O)C2,CHEMBL5403046,5.605548319,2480,0,383.835,1.8587,0,5
CC#CC(=O)NC12CC(NC3=C(Cl)C(=O)c4cccnc4C3=O)(C1)C2,CHEMBL5415704,6.602059991,250,1,355.781,1.3152,2,5
CC#CC(=O)NC12CC(NC3=C(Cl)C(=O)c4ncccc4C3=O)(C1)C2,CHEMBL5422549,6.638272164,230,1,355.781,1.3152,2,5
CC#CC(=O)NC1CN(C2=C(Cl)C(=O)c3cccnc3C2=O)C1,CHEMBL5401066,6.508638306,310,1,329.743,0.7347,1,5
CC#CC(=O)NC1CN(C2=C(Cl)C(=O)c3ncccc3C2=O)C1,CHEMBL5435611,6.229147988,590,1,329.743,0.7347,1,5
CC#CC(=O)NCCC1CCN(C2=C(Cl)C(=O)c3cccnc3C2=O)CC1,CHEMBL5412710,5.76700389,1710,0,385.851,2.1526,1,5
CC#CC(=O)NCCC1CCN(C2=C(Cl)C(=O)c3ncccc3C2=O)CC1,CHEMBL5401031,6.30980392,490,1,385.851,2.1526,1,5
CC(=C(F)F)[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,CHEMBL5815873,6.279840697,525,1,512.515,4.2652,2,8
CC(=O)N(C)C1CCN(c2cc(F)cc(NC(=O)c3cc4c(F)ccc(C)c4[nH]3)c2)C1,CHEMBL5073608,8.15490196,7,1,426.467,4.06382,2,3
CC(=O)N1CCC(N2C[C@@H]3C[C@@H](C2)c2ccc(-c4ccccc4CN4CCOCC4)c(=O)n2C3)CC1,CHEMBL5406103,6.050609993,890,1,490.648,2.7775,0,6
CC(=O)N1CCC(N2C[C@H]3C[C@@H](C2)c2ccc(-c4ccccc4CN4CCOCC4)c(=O)n2C3)CC1,CHEMBL4876215,3.096910013,800000,0,490.648,2.7775,0,6
CC(=O)N1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1,CHEMBL4851472,5.124938737,7500,0,437.565,3.7411,2,4
CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1,CHEMBL5095235,7.744727495,18,1,400.498,2.82052,2,3
CC(=O)c1ccc(-c2cc(NC(=O)Nc3ccc4nnsc4c3)cc(C(F)(F)F)c2)s1,CHEMBL5420895,5.13667714,7300,0,462.478,6.2852,2,6
CC(C(=O)C1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1)C1CC1,CHEMBL5805522,6.279840697,525,1,532.599,3.7099,2,9
CC(C)(C)C(=O)[C@@]1(N)CCCN(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N)ncnc32)C1,CHEMBL5785574,6.279840697,525,1,520.588,3.7099,2,9
CC(C)(C)NS(=O)(=O)c1cccc2c(N)cccc12,CHEMBL4874995,4.735182177,18400,0,278.377,2.4988,2,3
CC(C)(C)OC(=O)NC1(COC2CC2)CCCC(c2cnc(-c3ccc(F)c(F)c3)cc2Cn2cnc3c(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)ncnc32)C1,CHEMBL5751773,8.259637311,5.5,1,805.924,8.9915,1,12
CC(C)(O)[C@H](F)CNC1=C(Cl)C(=O)c2ccc(Cl)nc2C1=O,CHEMBL5412847,6.602059991,250,1,347.173,2.263,2,5
CC(C)(O)[C@H](F)CNC1=C(Cl)C(=O)c2ccc(N3CCC(F)(F)C3)nc2C1=O,CHEMBL5397372,6.031517051,930,1,417.815,2.455,2,6
CC(C)(O)[C@H](F)CNC1=C(Cl)C(=O)c2ccc(N3CCCC3)nc2C1=O,CHEMBL5419919,6.443697499,360,1,381.835,2.2098,2,6
CC(C)(O)[C@H](F)CNC1=C(Cl)C(=O)c2ccc(N3C[C@@H](O)[C@H](O)C3)nc2C1=O,CHEMBL5412582,5.913640169,1220,0,413.833,0.1514,4,8
CC(C)(O)[C@H](F)CNC1=C(Cl)C(=O)c2cccnc2C1=O,CHEMBL5433538,6.522878745,300,1,312.728,1.6096,2,5
