model,metric,mean,std,mean_std
LR,accuracy,0.86697039994527,0.06221260070557202,0.8670 ± 0.0622
LR,precision,0.8699283792924094,0.09480103126493394,0.8699 ± 0.0948
LR,recall,0.9063261706306183,0.08278266130300875,0.9063 ± 0.0828
LR,f1,0.8825429762196305,0.0626604641694926,0.8825 ± 0.0627
LR,mcc,0.6938939417587437,0.11207806660215407,0.6939 ± 0.1121
LR,roc_auc,0.9448152711797485,0.04863178084172478,0.9448 ± 0.0486
LR,pr_auc,0.9631571226198923,0.035204324508817754,0.9632 ± 0.0352
LR,ef1,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
LR,ef5,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
RFC,accuracy,0.9068209154424355,0.044211729051273414,0.9068 ± 0.0442
RFC,precision,0.9171999820045541,0.05108941103892104,0.9172 ± 0.0511
RFC,recall,0.9120474043218376,0.06985620541292488,0.9120 ± 0.0699
RFC,f1,0.9133008113840086,0.05088278896569112,0.9133 ± 0.0509
RFC,mcc,0.7838914475919238,0.07973018114378415,0.7839 ± 0.0797
RFC,roc_auc,0.962009453382082,0.03284693618055013,0.9620 ± 0.0328
RFC,pr_auc,0.9733130289692806,0.027211255192111906,0.9733 ± 0.0272
RFC,ef1,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
RFC,ef5,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
SVC,accuracy,0.9017357889170212,0.04962411097500198,0.9017 ± 0.0496
SVC,precision,0.9027647122662075,0.07193510703264282,0.9028 ± 0.0719
SVC,recall,0.9285925631458178,0.06974589319787569,0.9286 ± 0.0697
SVC,f1,0.9125455392567599,0.04998376958395173,0.9125 ± 0.0500
SVC,mcc,0.7757448909752788,0.09033311351320723,0.7757 ± 0.0903
SVC,roc_auc,0.9532706409083215,0.03904782970623539,0.9533 ± 0.0390
SVC,pr_auc,0.971373773053315,0.030474300439985124,0.9714 ± 0.0305
SVC,ef1,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
SVC,ef5,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
XGBC,accuracy,0.8878622960582507,0.06786350541342273,0.8879 ± 0.0679
XGBC,precision,0.8950905479394252,0.09072757478660765,0.8951 ± 0.0907
XGBC,recall,0.9090450438055918,0.07395277772191722,0.9090 ± 0.0740
XGBC,f1,0.8993348696984318,0.06863142363295417,0.8993 ± 0.0686
XGBC,mcc,0.7407669910865493,0.12966446720779218,0.7408 ± 0.1297
XGBC,roc_auc,0.9582164361438941,0.03723383749906334,0.9582 ± 0.0372
XGBC,pr_auc,0.9701194864383591,0.03307415259333199,0.9701 ± 0.0331
XGBC,ef1,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
XGBC,ef5,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
ETC,accuracy,0.9026662326534828,0.050784717412528615,0.9027 ± 0.0508
ETC,precision,0.9212253830282945,0.06636923999417348,0.9212 ± 0.0664
ETC,recall,0.9037571134752168,0.07308802600564461,0.9038 ± 0.0731
ETC,f1,0.910318934350849,0.0550494232261131,0.9103 ± 0.0550
ETC,mcc,0.7776052950544307,0.09464672689275438,0.7776 ± 0.0946
ETC,roc_auc,0.9538684473884136,0.037731941861889766,0.9539 ± 0.0377
ETC,pr_auc,0.9696672941445696,0.029649962706688855,0.9697 ± 0.0296
ETC,ef1,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
ETC,ef5,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
MLP,accuracy,0.8992620818870978,0.0450007687964808,0.8993 ± 0.0450
MLP,precision,0.904331247836995,0.06920926214430681,0.9043 ± 0.0692
MLP,recall,0.9166399893654895,0.07311979684530308,0.9166 ± 0.0731
MLP,f1,0.9076026471640568,0.05218128982656221,0.9076 ± 0.0522
MLP,mcc,0.7623543886066585,0.08863001070039023,0.7624 ± 0.0886
MLP,roc_auc,0.9660616892019568,0.027715767078710544,0.9661 ± 0.0277
MLP,pr_auc,0.975884676030249,0.02442720906339292,0.9759 ± 0.0244
MLP,ef1,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
MLP,ef5,1.767461621577469,0.5051999651289535,1.7675 ± 0.5052
