feature_name,importance,feature_type
fp_1060,0.07356298337558859,fp
fp_1535,0.05144056478090768,fp
fp_1413,0.049787087011820226,fp
fp_926,0.03389974835047986,fp
fp_1452,0.03134800525972989,fp
fp_1765,0.029196599784626787,fp
fp_1162,0.027331683203655723,fp
fp_407,0.026371801500385456,fp
fp_1028,0.025090093818331372,fp
fp_1928,0.02471928600086164,fp
fp_1480,0.020227557654497855,fp
fp_699,0.01288722911198332,fp
fp_1661,0.012401950858547135,fp
fp_389,0.01115214517398535,fp
fp_216,0.011018140365138856,fp
fp_1357,0.010965019557927195,fp
fp_1575,0.010560009609237798,fp
NumAliphaticRings,0.010501453249227735,descriptor
fp_1171,0.010075596440868665,fp
VSA_EState2,0.01007103208792771,descriptor
fp_1840,0.010012274969557176,fp
fp_932,0.00996490747693591,fp
RingCount,0.009828119924274618,descriptor
fp_680,0.009822677158959004,fp
fp_1754,0.009320032152891565,fp
fp_1810,0.009250231724035118,fp
fp_314,0.008978405247532266,fp
fp_283,0.008831347364105896,fp
LabuteASA,0.008600607324163331,descriptor
NumHAcceptors,0.008580035557430138,descriptor
fp_1265,0.008553103607648316,fp
fp_984,0.008187536133920282,fp
HeavyAtomCount,0.00818407682836422,descriptor
MolWt,0.008075670426548455,descriptor
fp_1917,0.00806734791609397,fp
FractionCSP3,0.00793657949717301,descriptor
fp_378,0.007898253127966914,fp
fp_806,0.007702222511900087,fp
NumValenceElectrons,0.007335047367064514,descriptor
fp_1,0.007271155518616615,fp
SlogP_VSA2,0.007256613383211219,descriptor
fp_1168,0.006891589254364684,fp
fp_635,0.006876904357045057,fp
SMR_VSA2,0.0067085313111434446,descriptor
fp_1199,0.006703720351822037,fp
fp_1160,0.006627924215593131,fp
fp_352,0.006365676903307198,fp
fp_807,0.006351384656476313,fp
fp_1722,0.0063452512450694835,fp
fp_446,0.006285817616647458,fp
VSA_EState1,0.006002011146638247,descriptor
fp_1152,0.005991894177586271,fp
fp_1683,0.005980648103557089,fp
fp_1708,0.005940333221817893,fp
SlogP_VSA1,0.005738415511210962,descriptor
fp_650,0.005505445963827624,fp
fp_1791,0.005471258487683066,fp
fp_1232,0.005421866086051363,fp
fp_1905,0.005373269987942468,fp
TPSA,0.005244411600572756,descriptor
fp_1649,0.0050207724711162985,fp
fp_747,0.004885819619449588,fp
fp_1325,0.004885252220343337,fp
MolLogP,0.004787962703467372,descriptor
fp_1054,0.0047513687007713825,fp
fp_323,0.004748273785709605,fp
NumRotatableBonds,0.004728481059722891,descriptor
EState_VSA1,0.004715084881504906,descriptor
fp_784,0.00465113594354622,fp
fp_1540,0.0046028580434236055,fp
fp_305,0.0045921117116014655,fp
fp_674,0.004493908726377285,fp
NumHDonors,0.004242917630994969,descriptor
fp_1066,0.004164078522630549,fp
fp_1019,0.004152205566860728,fp
SMR_VSA1,0.004127166325695158,descriptor
fp_1043,0.004062615276832208,fp
fp_1039,0.003984093614070474,fp
fp_935,0.003747552007413541,fp
fp_392,0.003668150295275648,fp
fp_80,0.0036469851325626255,fp
fp_1646,0.0035319811477651664,fp
fp_1589,0.003358302636730344,fp
NumAromaticRings,0.003335054681291284,descriptor
fp_255,0.0033183248582148105,fp
fp_1088,0.0032825157938128776,fp
fp_448,0.003278373641797789,fp
fp_1771,0.0032453499249071142,fp
