feature_name,importance,feature_type
fp_1413,0.13559319078922272,fp
fp_1060,0.06538782268762589,fp
fp_1634,0.04472646489739418,fp
fp_747,0.037752095609903336,fp
fp_984,0.03367676958441734,fp
NumAromaticRings,0.03342229127883911,descriptor
fp_1540,0.032743845134973526,fp
fp_1232,0.029537951573729515,fp
fp_323,0.026776280254125595,fp
fp_283,0.026732122525572777,fp
fp_446,0.0244577769190073,fp
fp_1162,0.021941525861620903,fp
fp_1054,0.01828399859368801,fp
fp_635,0.013381649740040302,fp
fp_1,0.013105171732604504,fp
fp_1032,0.012971675023436546,fp
NumAliphaticRings,0.011205893941223621,descriptor
NumHDonors,0.01089372020214796,descriptor
fp_314,0.010426247492432594,fp
fp_1265,0.00999495293945074,fp
FractionCSP3,0.00898739043623209,descriptor
fp_448,0.008814161643385887,fp
fp_216,0.008342619985342026,fp
fp_724,0.00828496553003788,fp
fp_1160,0.007999864406883717,fp
fp_1648,0.007646900601685047,fp
fp_407,0.007628531660884619,fp
fp_1754,0.007528959307819605,fp
fp_13,0.007505171466618776,fp
fp_389,0.0074131181463599205,fp
fp_1168,0.007344971410930157,fp
fp_1452,0.007299686316400766,fp
SMR_VSA2,0.007102495990693569,descriptor
LabuteASA,0.0070205386728048325,descriptor
fp_352,0.0070048426277935505,fp
fp_1765,0.006687664892524481,fp
fp_1019,0.006668583955615759,fp
fp_1649,0.006599938031286001,fp
fp_1028,0.006346137262880802,fp
fp_718,0.006174622569233179,fp
fp_361,0.006164697464555502,fp
fp_194,0.006014340091496706,fp
fp_305,0.006010326556861401,fp
fp_784,0.005612076725810766,fp
fp_680,0.005386647768318653,fp
fp_1453,0.0052156294696033,fp
SMR_VSA1,0.005119571462273598,descriptor
fp_650,0.004978944547474384,fp
TPSA,0.004935786593705416,descriptor
fp_1832,0.004812302999198437,fp
fp_1152,0.004737963434308767,fp
fp_1840,0.004548080265522003,fp
fp_1917,0.0045296973548829556,fp
NumValenceElectrons,0.0045175980776548386,descriptor
fp_1575,0.004426805302500725,fp
fp_656,0.004419063217937946,fp
HeavyAtomCount,0.004398773889988661,descriptor
fp_1722,0.004281040746718645,fp
fp_935,0.004256569314748049,fp
fp_807,0.004224071744829416,fp
fp_247,0.0041221268475055695,fp
fp_255,0.004120452329516411,fp
fp_1164,0.004069878254085779,fp
fp_926,0.004056992009282112,fp
VSA_EState2,0.004050145391374826,descriptor
SlogP_VSA1,0.003932473249733448,descriptor
MolLogP,0.003924520220607519,descriptor
MolWt,0.0038097684737294912,descriptor
fp_29,0.0036665864754468203,fp
fp_933,0.003593791276216507,fp
fp_1199,0.003392235143110156,fp
fp_674,0.0033571827225387096,fp
fp_1145,0.0033547524362802505,fp
fp_1535,0.0033300251234322786,fp
fp_1476,0.003126287367194891,fp
EState_VSA1,0.0030898726545274258,descriptor
NumHAcceptors,0.0030063497833907604,descriptor
fp_695,0.0029918095096945763,fp
VSA_EState1,0.00298467930406332,descriptor
fp_1970,0.002861598040908575,fp
fp_1157,0.0027483103331178427,fp
fp_392,0.002732201013714075,fp
fp_1750,0.002728127408772707,fp
fp_80,0.0027198318857699633,fp
fp_1810,0.0027082187589257956,fp
fp_1683,0.002701347228139639,fp
fp_1480,0.002618032041937113,fp
fp_1357,0.0025955685414373875,fp
fp_1088,0.0024647389072924852,fp
SlogP_VSA2,0.0024348320439457893,descriptor
fp_1589,0.0023918168153613806,fp
fp_1661,0.002368189627304673,fp
fp_1928,0.0022708249744027853,fp
fp_1107,0.002259436994791031,fp
fp_1325,0.0022190569434314966,fp
fp_1791,0.0022188781294971704,fp
fp_1171,0.0019471966661512852,fp
fp_1114,0.001925953896716237,fp
fp_841,0.001904951990582049,fp
fp_1737,0.0018535343697294593,fp
RingCount,0.0017402512021362782,descriptor
NumRotatableBonds,0.0016600191593170166,descriptor
fp_708,0.0016164889093488455,fp
fp_739,0.0015343737322837114,fp
fp_1855,0.0014879994560033083,fp
fp_1097,0.0014631160302087665,fp
fp_322,0.0014341042842715979,fp
fp_1530,0.0013208062155172229,fp
fp_1573,0.0012601633789017797,fp
fp_875,0.0011983292642980814,fp
fp_114,0.0011773442383855581,fp
fp_667,0.0010772286914288998,fp
fp_1236,0.0010617818916216493,fp
fp_1771,0.0010474763112142682,fp
fp_932,0.0006728292792104185,fp
fp_1043,0.0006422483711503446,fp
fp_591,0.0005223929765634239,fp
fp_1057,0.00042792336898855865,fp
fp_34,0.0,fp
fp_90,0.0,fp
fp_111,0.0,fp
fp_1409,0.0,fp
fp_1405,0.0,fp
fp_1296,0.0,fp
fp_1708,0.0,fp
fp_1670,0.0,fp
fp_1646,0.0,fp
fp_1524,0.0,fp
fp_1487,0.0,fp
fp_94,0.0,fp
fp_1640,0.0,fp
fp_1602,0.0,fp
fp_1539,0.0,fp
fp_1039,0.0,fp
fp_1747,0.0,fp
fp_1410,0.0,fp
fp_1422,0.0,fp
fp_1905,0.0,fp
fp_1866,0.0,fp
fp_1862,0.0,fp
fp_1084,0.0,fp
fp_1050,0.0,fp
fp_1066,0.0,fp
fp_806,0.0,fp
fp_1945,0.0,fp
fp_2009,0.0,fp
fp_1998,0.0,fp
fp_710,0.0,fp
fp_699,0.0,fp
fp_310,0.0,fp
fp_378,0.0,fp
fp_118,0.0,fp
fp_227,0.0,fp
