model,metric,mean,std,mean_std
LR,accuracy,0.8547144301603351,0.06960760655672224,0.8547 ± 0.0696
LR,precision,0.859041656098006,0.12195393160949423,0.8590 ± 0.1220
LR,recall,0.8983034509350298,0.08668844752377733,0.8983 ± 0.0867
LR,f1,0.8692957451755406,0.06568702743662853,0.8693 ± 0.0657
LR,mcc,0.6973554219083076,0.10216568064475481,0.6974 ± 0.1022
LR,roc_auc,0.9400853545623266,0.05286452147856125,0.9401 ± 0.0529
LR,pr_auc,0.9577394370102266,0.03423424214378302,0.9577 ± 0.0342
LR,ef1,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
LR,ef5,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
RFC,accuracy,0.902532283692041,0.05429493423641549,0.9025 ± 0.0543
RFC,precision,0.9212334336133698,0.052386934870162334,0.9212 ± 0.0524
RFC,recall,0.8934759976865239,0.06241774581459021,0.8935 ± 0.0624
RFC,f1,0.9068249626784033,0.05508076924104354,0.9068 ± 0.0551
RFC,mcc,0.7826115080261122,0.09295067454178532,0.7826 ± 0.0930
RFC,roc_auc,0.9586226693499599,0.037057774526034974,0.9586 ± 0.0371
RFC,pr_auc,0.9689295481416235,0.027531750558838785,0.9689 ± 0.0275
RFC,ef1,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
RFC,ef5,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
SVC,accuracy,0.8972253358370649,0.0625041569481619,0.8972 ± 0.0625
SVC,precision,0.8885543934817417,0.08363495074109002,0.8886 ± 0.0836
SVC,recall,0.9281280123385386,0.0707658782462155,0.9281 ± 0.0708
SVC,f1,0.9051371292950481,0.06120462160619549,0.9051 ± 0.0612
SVC,mcc,0.777059124828324,0.1106135760761843,0.7771 ± 0.1106
SVC,roc_auc,0.9351409764741094,0.041164354282150366,0.9351 ± 0.0412
SVC,pr_auc,0.958790331979037,0.03566570554162135,0.9588 ± 0.0357
SVC,ef1,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
SVC,ef5,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
XGBC,accuracy,0.8736513072367471,0.07700582323342059,0.8737 ± 0.0770
XGBC,precision,0.8832687882687882,0.09207339218884965,0.8833 ± 0.0921
XGBC,recall,0.8747291305186042,0.07698368119579234,0.8747 ± 0.0770
XGBC,f1,0.87827623938777,0.08183707250127466,0.8783 ± 0.0818
XGBC,mcc,0.7168935477837033,0.13374808154581339,0.7169 ± 0.1337
XGBC,roc_auc,0.9537131424438806,0.03494003664261412,0.9537 ± 0.0349
XGBC,pr_auc,0.9649254205070339,0.029289833229281158,0.9649 ± 0.0293
XGBC,ef1,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
XGBC,ef5,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
ETC,accuracy,0.8868598873320813,0.06193633369012889,0.8869 ± 0.0619
ETC,precision,0.9095069233367106,0.07735551804536855,0.9095 ± 0.0774
ETC,recall,0.8738422980528243,0.06810711236521062,0.8738 ± 0.0681
ETC,f1,0.8900901816309418,0.06504678483424262,0.8901 ± 0.0650
ETC,mcc,0.7519132053475397,0.10804083607590623,0.7519 ± 0.1080
ETC,roc_auc,0.9390815339639775,0.03447054271645876,0.9391 ± 0.0345
ETC,pr_auc,0.9622291928918356,0.026294089073044213,0.9622 ± 0.0263
ETC,ef1,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
ETC,ef5,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
MLP,accuracy,0.8864665607395639,0.05830773008735639,0.8865 ± 0.0583
MLP,precision,0.887521581732108,0.09208633841326555,0.8875 ± 0.0921
MLP,recall,0.9027491806439174,0.05795523989895312,0.9027 ± 0.0580
MLP,f1,0.8928506423666513,0.06422262054695298,0.8929 ± 0.0642
MLP,mcc,0.7451241756609297,0.09155371331887058,0.7451 ± 0.0916
MLP,roc_auc,0.959984123167476,0.02974115774173151,0.9600 ± 0.0297
MLP,pr_auc,0.9685206337282484,0.028542903559575127,0.9685 ± 0.0285
MLP,ef1,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
MLP,ef5,1.752329576540103,0.4521509692219198,1.7523 ± 0.4522
