feature_name,importance,feature_type
LabuteASA,0.08051114939830827,descriptor
NumValenceElectrons,0.05999692929088178,descriptor
SlogP_VSA2,0.046504864631536094,descriptor
MolWt,0.045595630883691785,descriptor
HeavyAtomCount,0.043729229666701314,descriptor
VSA_EState2,0.04290192552897098,descriptor
RingCount,0.04064066986237235,descriptor
fp_1060,0.03748620195230917,fp
NumHAcceptors,0.03627818326706251,descriptor
fp_1535,0.0330366406420715,fp
fp_266,0.024531926540984756,fp
TPSA,0.023339281533358014,descriptor
fp_1059,0.018668730013035893,fp
NumAromaticRings,0.017889833298456927,descriptor
FractionCSP3,0.017528966257478622,descriptor
NumAliphaticRings,0.016986221284920965,descriptor
fp_1452,0.01637899875601342,fp
VSA_EState1,0.016142758699395986,descriptor
SlogP_VSA1,0.01583506732515255,descriptor
fp_1199,0.015023689606433487,fp
fp_1968,0.013826488310631858,fp
fp_1033,0.01378324779042928,fp
MolLogP,0.01358527853254641,descriptor
fp_407,0.012954652349266144,fp
fp_1765,0.00942503300174458,fp
fp_1480,0.009330136070414457,fp
SMR_VSA1,0.009038254136139462,descriptor
fp_1028,0.008757039468686757,fp
fp_932,0.008333507305195097,fp
EState_VSA1,0.008297605586718802,descriptor
fp_926,0.008110923700124438,fp
fp_1357,0.007893013202771743,fp
fp_1928,0.006970084904228464,fp
NumRotatableBonds,0.006906495819405454,descriptor
fp_699,0.0065393790735593415,fp
fp_1754,0.006497289683019944,fp
fp_389,0.006191199716340156,fp
fp_314,0.005862020268732505,fp
fp_1160,0.005652494561739968,fp
fp_1573,0.0055211043813751986,fp
NumHDonors,0.005347571087163967,descriptor
fp_216,0.0051571421430690835,fp
fp_1661,0.005145437939927088,fp
fp_1457,0.0046900110579712615,fp
fp_1066,0.004517639271061725,fp
fp_680,0.004454494839315019,fp
fp_1088,0.004327208853260059,fp
fp_984,0.004303776406348439,fp
fp_1589,0.004248283081119139,fp
fp_1791,0.004094298920219514,fp
fp_1840,0.004022789654604001,fp
fp_1683,0.004009435373001914,fp
fp_1171,0.003396516291493907,fp
fp_448,0.0032003379876569134,fp
fp_875,0.0031879181548132582,fp
fp_378,0.0031745796872791913,fp
fp_561,0.0031546729674732186,fp
fp_352,0.0030938220832537524,fp
fp_784,0.003043924143928445,fp
fp_1575,0.0029930903004537577,fp
fp_935,0.002872178409016328,fp
fp_392,0.0028661508052838145,fp
fp_1771,0.00273432445640769,fp
fp_1866,0.0026612906667992523,fp
fp_1649,0.0025475679567906334,fp
fp_1097,0.002516536483493783,fp
fp_1722,0.0023454680433903524,fp
fp_1,0.0023278249661525703,fp
fp_1054,0.002263053425465595,fp
fp_1168,0.0022491210352627118,fp
fp_1152,0.0021571057842226116,fp
fp_1917,0.002096877777441397,fp
fp_1114,0.0019873729704004907,fp
fp_1157,0.0019663045843776655,fp
fp_1019,0.0019407682378816925,fp
fp_2009,0.0019101670606324094,fp
fp_1646,0.0018655176455830956,fp
fp_283,0.001864084314356245,fp
fp_323,0.0018307965014766486,fp
fp_806,0.0018170783469184841,fp
fp_361,0.0018135455481113184,fp
fp_350,0.0016337939421017563,fp
fp_247,0.0016189704276282776,fp
fp_1325,0.0015380149985853536,fp
fp_1164,0.001530849166135541,fp
SMR_VSA2,0.0015295682595039127,descriptor
fp_674,0.0014426621900728634,fp
fp_80,0.0014338350612242447,fp
fp_1750,0.001427786335146405,fp
fp_1265,0.0014119922267574428,fp
fp_650,0.0014110661008990238,fp
fp_807,0.0013950198293907607,fp
fp_114,0.0013071625297990598,fp
fp_1855,0.0013007697089163904,fp
fp_739,0.001228217236173066,fp
fp_255,0.0012015687213008436,fp
fp_13,0.001151637224945925,fp
fp_310,0.0011327534849765472,fp
fp_1039,0.001093544278271575,fp
fp_1862,0.001086269787994322,fp
fp_656,0.0010575173030501494,fp
fp_708,0.0010487246492658544,fp
fp_1747,0.001032851567835232,fp
fp_1832,0.0010325912657731383,fp
fp_1737,0.0010220099174546938,fp
fp_1998,0.0010031196876151792,fp
fp_29,0.001001491500730147,fp
fp_710,0.0009916527905444157,fp
fp_718,0.0009793773010756065,fp
fp_724,0.0009373857297073517,fp
fp_1634,0.0009328459234911721,fp
fp_1107,0.000859120666802571,fp
fp_1499,0.0008506597677691265,fp
fp_638,0.0008361975853594238,fp
fp_1057,0.0008148013409498559,fp
fp_1476,0.0008006672803382792,fp
fp_1626,0.0007268682117431787,fp
fp_1758,0.0006928004015277293,fp
fp_695,0.0006742056609458103,fp
fp_1145,0.0006635997948560851,fp
fp_780,0.0006606878189616875,fp
fp_1453,0.000635642141106598,fp
fp_1487,0.0005809325028390338,fp
fp_1409,0.0005286743998716312,fp
fp_322,0.0004749427648242146,fp
fp_1970,0.00046324042050758455,fp
fp_1536,0.00044863372972634005,fp
fp_289,0.00038830226030727355,fp
fp_1539,0.0003666132552573578,fp
fp_841,0.00033780531521940526,fp
fp_1034,0.00029247993306326793,fp
fp_1065,0.0002870205561644777,fp
fp_118,0.0002736005190207135,fp
fp_1050,0.00026857380983816726,fp
fp_618,0.0002671852885995219,fp
fp_1405,0.00024972256671763345,fp
fp_1945,0.00020731979636056955,fp
fp_1524,0.0001643380640028057,fp
fp_1640,0.000152697584705345,fp
fp_1670,0.00012694820870042805,fp
fp_90,0.00011260929437798177,fp
fp_227,6.092371757398892e-05,fp
fp_1994,4.00786685889801e-05,fp
fp_1602,3.494611534472653e-05,fp
fp_1971,2.8251333584456307e-05,fp
fp_94,1.6661804010776727e-05,fp
fp_933,1.381757238625018e-05,fp
fp_1410,5.149136595733996e-06,fp
fp_1084,0.0,fp
